plate,well,contig,start,end,par,time
Dys15,B05,C,16933178,25365146,4016,E
Dys15,B05,D,11548288,21720103,4016,E
Dys15,B05,E,9447664,12387339,4016,E
Dys15,B05,E,27653783,37488889,4016,E
Dys15,B06,A,12359447,20850419,4016,E
Dys15,B06,B,135810,7611079,4016,E
Dys15,B06,B,23262375,29947949,4016,E
Dys15,B06,C,290567,9458814,4016,E
Dys15,B06,C,14605251,25405536,4016,E
Dys15,B06,D,246168,16076581,4016,E
Dys15,B06,E,5799,1644201,4016,E
Dys15,B06,F,597578,1436551,4016,E
Dys15,B08,A,18881,27434757,4016,E
Dys15,B08,B,240527,8140842,4016,E
Dys15,B08,C,1707333,14886644,4016,E
Dys15,B08,C,18195320,25515366,4016,E
Dys15,B08,D,192192,25973653,4016,E
Dys15,B08,E,8831409,21092061,4016,E
Dys15,B08,F,116310,1390544,4016,E
Dys15,B09,A,1648309,16333918,4016,E
Dys15,B09,B,10302,18456740,4016,E
Dys15,B09,D,20145,10935914,4016,E
Dys15,B09,D,20033346,26070473,4016,E
Dys15,B09,E,369,5790372,4016,E
Dys15,B10,A,4364,15574460,4016,E
Dys15,B10,B,20906240,29462150,4016,E
Dys15,B10,C,176976,12447100,4016,E
Dys15,B10,D,6600,2911155,4016,E
Dys15,B10,D,17774573,22148071,4016,E
Dys15,B10,E,16626667,37619810,4016,E
Dys15,B10,F,713408,1921598,4016,E
Dys15,B11,A,4654,29634335,4016,E
Dys15,B11,B,103219,7320932,4016,E
Dys15,B11,C,4495,12137985,4016,E
Dys15,B11,C,24596164,25406945,4016,E
Dys15,B11,D,3225,6022836,4016,E
Dys15,B11,E,9397868,19616422,4016,E
Dys15,B12,A,63197,29451093,4016,E
Dys15,B12,B,23887484,30026195,4016,E
Dys15,B12,C,173058,5686998,4016,E
Dys15,B12,D,10913752,21070994,4016,E
Dys15,B12,E,5847,11865195,4016,E
Dys15,B12,E,30092738,37595888,4016,E
Dys15,C01,A,45882,32373823,4016,E
Dys15,C01,B,116864,5272300,4016,E
Dys15,C01,B,22050386,30392279,4016,E
Dys15,C01,E,117845,26801918,4016,E
Dys15,C01,F,118936,1352081,4016,E
Dys15,C03,A,10257932,12238710,4016,E
Dys15,C03,C,173058,6181072,4016,E
Dys15,C03,C,22871763,24662091,4016,E
Dys15,C03,D,20145,13592028,4016,E
Dys15,C03,D,21506084,22718186,4016,E
Dys15,C03,E,459806,7312124,4016,E
Dys15,C05,A,28265,5859136,4016,E
Dys15,C05,B,27035531,29416347,4016,E
Dys15,C05,C,4607,3711230,4016,E
Dys15,C05,C,10517909,19961436,4016,E
Dys15,C05,D,12879,19047007,4016,E
Dys15,C05,E,6685,24639675,4016,E
Dys15,C06,A,30560,4325902,4016,E
Dys15,C06,A,11837369,29434412,4016,E
Dys15,C06,B,11909919,16906999,4016,E
Dys15,C06,C,242591,9398342,4016,E
Dys15,C06,C,9861132,24826573,4016,E
Dys15,C06,D,4535,12089482,4016,E
Dys15,C06,E,13926818,37574504,4016,E
Dys15,C08,A,16421,14175240,4016,E
Dys15,C08,B,18757374,29442442,4016,E
Dys15,C08,C,9100590,25370781,4016,E
Dys15,C08,D,350277,26593461,4016,E
Dys15,C08,E,19219501,37577601,4016,E
Dys15,C08,F,26720,1846396,4016,E
Dys15,C09,A,12076,12074687,4016,E
Dys15,C09,A,18038853,29509116,4016,E
Dys15,C09,C,8159922,25756973,4016,E
Dys15,C09,D,261951,20946388,4016,E
Dys15,C09,E,11645561,24299077,4016,E
Dys15,C10,A,14007,23428602,4016,E
Dys15,C10,B,10106651,29423660,4016,E
Dys15,C10,C,6193653,15146145,4016,E
Dys15,C10,D,23095361,25847061,4016,E
Dys15,C10,E,15267913,28268499,4016,E
Dys15,C11,A,16421,14229169,4016,E
Dys15,C11,A,17411867,22875288,4016,E
Dys15,C11,B,10302,11587122,4016,E
Dys15,C11,B,21313657,29455079,4016,E
Dys15,C11,C,13420680,25610751,4016,E
Dys15,C11,D,64926,4665103,4016,E
Dys15,C11,D,18098147,26110609,4016,E
Dys15,C11,E,6606233,37618913,4016,E
Dys15,C11,F,116310,1921598,4016,E
Dys15,C12,A,22564864,29490331,4016,E
Dys15,C12,B,111910,19795575,4016,E
Dys15,C12,C,4316,25391666,4016,E
Dys15,C12,D,228277,7289201,4016,E
Dys15,C12,D,24341224,25846679,4016,E
Dys15,C12,E,2777,22207525,4016,E
Dys15,C12,F,4651,1879086,4016,E
Dys15,D05,B,84541,7375723,4029,E
Dys15,D05,B,21795789,24395994,4029,E
Dys15,D05,C,175498,13423104,4029,E
Dys15,D05,C,23578057,25343006,4029,E
Dys15,D05,E,369,2260729,4029,E
Dys15,D05,E,17984487,33407877,4029,E
Dys15,D05,E,33803833,37584435,4029,E
Dys15,D05,F,4539,1919471,4029,E
Dys15,D06,A,21556304,22961850,4029,E
Dys15,D06,B,18675538,29976163,4029,E
Dys15,D06,C,4607,3493265,4029,E
Dys15,D06,C,11475730,25424375,4029,E
Dys15,D06,D,26819,5017752,4029,E
Dys15,D06,D,22233282,23562378,4029,E
Dys15,D06,F,116310,1435091,4029,E
Dys15,D08,B,10302,23438834,4029,E
Dys15,D08,C,5106706,13642487,4029,E
Dys15,D08,E,13807966,27931613,4029,E
Dys15,D08,F,698741,1421087,4029,E
Dys15,D09,A,21560650,22282091,4029,E
Dys15,D09,B,10302,9308633,4029,E
Dys15,D09,B,17759069,22217587,4029,E
Dys15,D09,C,1703935,25401950,4029,E
Dys15,D09,D,19528,26720963,4029,E
Dys15,D09,E,18692869,27185965,4029,E
Dys15,D09,F,4539,1543109,4029,E
Dys15,D10,B,10302,4415854,4029,E
Dys15,D10,B,17610424,29440335,4029,E
Dys15,D10,C,176325,20612969,4029,E
Dys15,D10,D,57524,22816807,4029,E
Dys15,D10,E,4095,3289769,4029,E
Dys15,D10,E,20096005,27925558,4029,E
Dys15,D11,A,21553765,29574139,4029,E
Dys15,D11,B,10302,7240499,4029,E
Dys15,D11,C,4495,25436413,4029,E
Dys15,D11,D,4644,13915470,4029,E
Dys15,D11,D,25104424,25958391,4029,E
Dys15,D11,E,2632,10185113,4029,E
Dys15,D12,B,10302,7406498,4029,E
Dys15,D12,B,19332629,29440694,4029,E
Dys15,D12,C,14508694,25409133,4029,E
Dys15,D12,D,6558465,20170780,4029,E
Dys15,D12,D,23602329,25999985,4029,E
Dys15,D12,E,5314,10871189,4029,E
Dys15,D12,E,27807068,37618111,4029,E
Dys15,D12,F,501380,1885976,4029,E
Dys15,E02,B,1132184,18394962,4029,E
Dys15,E02,C,4571,6875875,4029,E
Dys15,E02,C,15201503,25309803,4029,E
Dys15,E02,D,488251,11319228,4029,E
Dys15,E02,E,69063,2128138,4029,E
Dys15,E02,E,13005463,37592313,4029,E
Dys15,E04,B,7552571,29503706,4029,E
Dys15,E04,C,4607,25349793,4029,E
Dys15,E04,D,8441415,26654473,4029,E
Dys15,E04,E,13208777,37474100,4029,E
Dys15,E05,A,21573858,29638282,4029,E
Dys15,E05,B,174788,4042892,4029,E
Dys15,E05,B,24703082,29359863,4029,E
Dys15,E05,C,12228200,22162444,4029,E
Dys15,E05,D,140696,18793870,4029,E
Dys15,E05,E,7494909,37548199,4029,E
Dys15,E05,F,512663,1862695,4029,E
Dys15,E06,A,21554754,29592734,4029,E
Dys15,E06,B,10302,29613018,4029,E
Dys15,E06,C,4109,1558244,4029,E
Dys15,E06,C,5578451,25388598,4029,E
Dys15,E06,D,14511956,14747669,4029,E
Dys15,E06,E,17062668,27849145,4029,E
Dys15,E06,F,597578,1412215,4029,E
Dys15,E07,A,21557956,29532699,4029,E
Dys15,E07,B,10302,9476613,4029,E
Dys15,E07,B,25602389,29476236,4029,E
Dys15,E07,C,255330,12059089,4029,E
Dys15,E07,D,26819,7695743,4029,E
Dys15,E07,D,16264240,22744668,4029,E
Dys15,E07,E,3968,8141218,4029,E
Dys15,E07,E,15951839,31656911,4029,E
Dys15,E08,A,21557956,29592108,4029,E
Dys15,E08,B,14431007,20207105,4029,E
Dys15,E08,C,2096790,12998277,4029,E
Dys15,E08,D,24486982,25955833,4029,E
Dys15,E08,E,4944196,16315749,4029,E
Dys15,E09,B,49541,1736035,4029,E
Dys15,E09,B,9227940,29050631,4029,E
Dys15,E09,C,9187866,25389938,4029,E
Dys15,E09,D,17751235,24448908,4029,E
Dys15,E09,E,5799,4716349,4029,E
Dys15,E10,A,24834891,29430142,4029,E
Dys15,E10,B,52025,2346466,4029,E
Dys15,E10,C,8937358,25606590,4029,E
Dys15,E10,D,14420352,19276601,4029,E
Dys15,E10,D,24209935,26029910,4029,E
Dys15,E10,E,4667175,37595981,4029,E
Dys15,E11,D,19528,15828614,4029,E
Dys15,E12,A,21561123,29937004,4029,E
Dys15,E12,B,10302,9883088,4029,E
Dys15,E12,C,176993,4830356,4029,E
Dys15,E12,C,15267357,25430877,4029,E
Dys15,E12,D,4644,6711533,4029,E
Dys15,E12,D,18222988,25927885,4029,E
Dys15,E12,E,3968,13056155,4029,E
Dys15,F02,B,4869963,21164285,4029,E
Dys15,F02,C,316125,6922736,4029,E
Dys15,F02,E,60552,20087565,4029,E
Dys15,F02,E,30389328,37622360,4029,E
Dys15,F02,F,15516,1834279,4029,E
Dys15,F05,B,284410,17722374,4029,E
Dys15,F05,D,368352,26434392,4029,E
Dys15,F05,E,212442,3917042,4029,E
Dys15,F06,A,21568059,29366258,4029,E
Dys15,F06,B,1332891,7787472,4029,E
Dys15,F06,C,285601,21285563,4029,E
Dys15,F06,D,140696,19938537,4029,E
Dys15,F06,E,18794,9829993,4029,E
Dys15,F06,F,4498,1838468,4029,E
Dys15,F07,A,21556136,24036944,4029,E
Dys15,F07,B,30951,29473241,4029,E
Dys15,F07,C,258642,25789026,4029,E
Dys15,F07,D,19528,24652103,4029,E
Dys15,F07,E,369,33421180,4029,E
Dys15,F07,E,34263857,37622225,4029,E
Dys15,F08,B,10302,7397774,4029,E
Dys15,F08,B,19202491,29589199,4029,E
Dys15,F08,C,5428370,22881693,4029,E
Dys15,F08,D,21732819,25807400,4029,E
Dys15,F08,E,3991,37607901,4029,E
Dys15,F08,F,4651,1859877,4029,E
Dys15,F09,B,10302,18687372,4029,E
Dys15,F09,C,175991,11681833,4029,E
Dys15,F09,C,19225074,25390676,4029,E
Dys15,F09,D,16541679,23552338,4029,E
Dys15,F09,D,23613650,26004346,4029,E
Dys15,F09,E,2939,16644012,4029,E
Dys15,F09,E,31779865,37566055,4029,E
Dys15,F09,F,988,1375481,4029,E
Dys15,F10,A,21562377,22176814,4029,E
Dys15,F10,A,25755165,29846517,4029,E
Dys15,F10,B,8190865,11037942,4029,E
Dys15,F10,B,19631558,29458077,4029,E
Dys15,F10,C,4109,14547639,4029,E
Dys15,F10,D,17122970,26199283,4029,E
Dys15,F10,E,369,7214422,4029,E
Dys15,F11,B,10302,19878373,4029,E
Dys15,F11,B,23890303,29524492,4029,E
Dys15,F11,C,176325,16477664,4029,E
Dys15,F11,D,6009919,16701515,4029,E
Dys15,F11,E,2666493,12853152,4029,E
Dys15,F11,F,537940,1425764,4029,E
Dys15,F12,A,21569283,29574324,4029,E
Dys15,F12,B,10302,4234512,4029,E
Dys15,F12,C,256713,19066469,4029,E
Dys15,F12,C,19531802,20162954,4029,E
Dys15,F12,C,21514114,25408794,4029,E
Dys15,F12,D,1051734,22168415,4029,E
Dys15,F12,E,12918811,26453800,4029,E
Dys15,G03,A,21578749,29764616,4029,E
Dys15,G03,B,10302,1429430,4029,E
Dys15,G03,B,8905137,30392268,4029,E
Dys15,G03,C,5017523,25323999,4029,E
Dys15,G03,D,10578629,19433610,4029,E
Dys15,G03,E,43884,6466605,4029,E
Dys15,G03,E,9993528,26438891,4029,E
Dys15,G04,B,252732,7458125,4029,E
Dys15,G04,C,266129,6287926,4029,E
Dys15,G04,C,12622770,15529010,4029,E
Dys15,G04,D,6394431,20015352,4029,E
Dys15,G04,E,16812212,37619810,4029,E
Dys15,G04,F,860555,1894097,4029,E
Dys15,G05,A,21571393,29634335,4029,E
Dys15,G05,B,10302,1277912,4029,E
Dys15,G05,C,175432,9027466,4029,E
Dys15,G05,C,15256835,23548175,4029,E
Dys15,G05,D,4946415,15011884,4029,E
Dys15,G05,E,3982816,37614990,4029,E
Dys15,G05,F,481663,1920549,4029,E
Dys15,G06,A,21590358,29440222,4029,E
Dys15,G06,B,8225922,24151364,4029,E
Dys15,G06,D,4535,16525040,4029,E
Dys15,G06,E,43494,32273478,4029,E
Dys15,G07,A,22655502,29958851,4029,E
Dys15,G07,B,89276,29524621,4029,E
Dys15,G07,C,11441751,14974208,4029,E
Dys15,G07,D,68661,25847227,4029,E
Dys15,G07,E,5799,9486878,4029,E
Dys15,G07,F,477182,1525201,4029,E
Dys15,G08,A,21563657,29513997,4029,E
Dys15,G08,B,149568,1105248,4029,E
Dys15,G08,B,5160269,24589712,4029,E
Dys15,G08,C,6336527,25401549,4029,E
Dys15,G08,E,369,3175957,4029,E
Dys15,G09,A,30560,1414076,5011,E
Dys15,G09,A,11890385,20946945,5011,E
Dys15,G09,C,254215,6518480,5011,E
Dys15,G09,C,12448782,24449409,5011,E
Dys15,G09,D,275958,9681988,5011,E
Dys15,G09,E,14825264,37572478,5011,E
Dys15,G10,A,19397,29566642,5011,E
Dys15,G10,B,22277360,29509747,5011,E
Dys15,G10,C,265635,8586623,5011,E
Dys15,G10,D,19528,4403690,5011,E
Dys15,G10,D,9745870,25976818,5011,E
Dys15,G10,E,9352537,37607357,5011,E
Dys15,G11,A,18100217,29555232,5011,E
Dys15,G11,B,10302,15250260,5011,E
Dys15,G11,B,21090459,29585380,5011,E
Dys15,G11,C,7386958,7897124,5011,E
Dys15,G11,C,19497945,25402047,5011,E
Dys15,G11,D,6600,9696804,5011,E
Dys15,G11,D,11005277,26050263,5011,E
Dys15,G11,E,2632,11401507,5011,E
Dys15,G11,E,20038249,24194931,5011,E
Dys15,G11,F,4651,1381039,5011,E
Dys15,G12,A,26217,3348085,5011,E
Dys15,G12,B,10302,8191673,5011,E
Dys15,G12,C,225876,4820709,5011,E
Dys15,G12,C,12706944,25365146,5011,E
Dys15,G12,D,171564,9097729,5011,E
Dys15,G12,D,9746661,22025465,5011,E
Dys15,G12,E,60552,11139397,5011,E
Dys15,G12,E,22492790,37621867,5011,E
Dys15,H01,A,11749922,24291597,5011,E
Dys15,H01,B,1737917,6953227,5011,E
Dys15,H01,B,10675902,26432935,5011,E
Dys15,H01,C,4881981,16792740,5011,E
Dys15,H01,E,3701669,9836681,5011,E
Dys15,H01,E,21090133,37453528,5011,E
Dys15,H02,A,16849584,29518906,5011,E
Dys15,H02,B,27191047,29484690,5011,E
Dys15,H02,C,1115855,6751378,5011,E
Dys15,H02,C,12047534,25390107,5011,E
Dys15,H02,D,9735611,11074403,5011,E
Dys15,H02,D,16584783,23525033,5011,E
Dys15,H02,D,23620636,25803165,5011,E
Dys15,H02,F,1264,1388648,5011,E
Dys15,H03,A,23410,8226557,5011,E
Dys15,H03,A,17086405,25436268,5011,E
Dys15,H03,B,23813372,29704422,5011,E
Dys15,H03,C,16891556,25293571,5011,E
Dys15,H03,D,140696,9534621,5011,E
Dys15,H03,E,21212,5034512,5011,E
Dys15,H03,E,10307106,17778395,5011,E
Dys15,H04,A,1626728,32245118,5011,E
Dys15,H04,B,10302,7928358,5011,E
Dys15,H04,C,308028,13065721,5011,E
Dys15,H04,D,5061524,9713712,5011,E
Dys15,H04,E,92487,25183755,5011,E
Dys15,H05,A,2636660,5990606,5011,E
Dys15,H05,A,11230283,29534612,5011,E
Dys15,H05,B,1476819,29670009,5011,E
Dys15,H05,C,11935044,25541448,5011,E
Dys15,H05,D,192192,7014951,5011,E
Dys15,H05,D,9764093,20247048,5011,E
Dys15,H05,D,25037528,26435450,5011,E
Dys15,H06,A,164331,18059039,5011,E
Dys15,H06,B,111402,10174399,5011,E
Dys15,H06,B,17042600,29464440,5011,E
Dys15,H06,C,12994906,25362466,5011,E
Dys15,H06,D,9742918,26575676,5011,E
Dys15,H07,A,11588749,32420608,5011,E
Dys15,H07,B,14543226,30392268,5011,E
Dys15,H07,C,176976,13122575,5011,E
Dys15,H07,D,9992596,25659518,5011,E
Dys15,H08,A,9364945,25053352,5011,E
Dys15,H08,B,10302,14346175,5011,E
Dys15,H08,B,21028188,29462766,5011,E
Dys15,H08,C,21830565,25815544,5011,E
Dys15,H08,D,170563,5390566,5011,E
Dys15,H08,D,9736419,11353205,5011,E
Dys15,H08,D,24198884,25979769,5011,E
Dys15,H08,E,7075063,15266451,5011,E
Dys15,H09,A,38950,12856618,5011,E
Dys15,H09,A,18492762,29574482,5011,E
Dys15,H09,B,8791973,14756783,5011,E
Dys15,H09,C,258642,9442336,5011,E
Dys15,H09,C,17514885,25357818,5011,E
Dys15,H09,D,167977,15379836,5011,E
Dys15,H09,D,24999909,25867417,5011,E
Dys15,H09,E,56574,5539528,5011,E
Dys15,H09,E,20647562,37587778,5011,E
Dys15,H10,A,1119012,18896711,5011,E
Dys15,H10,B,10302,29127383,5011,E
Dys15,H10,C,4495,25402706,5011,E
Dys15,H10,D,15324247,25752679,5011,E
Dys15,H10,E,18794,1610312,5011,E
Dys15,H11,A,30560,3141826,5011,E
Dys15,H11,A,8875039,13222004,5011,E
Dys15,H11,A,19213501,29959455,5011,E
Dys15,H11,B,9458773,23147430,5011,E
Dys15,H11,C,12966245,25408834,5011,E
Dys15,H11,D,8217349,9705397,5011,E
Dys15,H11,E,53280,25603450,5011,E
Dys15,H11,F,954,1860555,5011,E
Dys15,H12,A,137318,29542826,5011,E
Dys15,H12,B,21729835,29413867,5011,E
Dys15,H12,C,9454517,20539957,5011,E
Dys15,H12,D,121986,9682633,5011,E
Dys15,H12,D,25189394,25944132,5011,E
Dys15,H12,E,8697938,37618111,5011,E
Dys15,H12,F,117044,1437916,5011,E
Dys16,A02,A,11720869,29883851,5011,E
Dys16,A02,B,157838,13090144,5011,E
Dys16,A02,D,93958,9627969,5011,E
Dys16,A02,E,21543797,37551772,5011,E
Dys16,A03,A,7146671,29638442,5011,E
Dys16,A03,B,5045171,24591813,5011,E
Dys16,A03,C,4495,9297305,5011,E
Dys16,A03,C,12495079,25400144,5011,E
Dys16,A03,D,9724322,19364049,5011,E
Dys16,A03,F,116764,1919471,5011,E
Dys16,A04,A,36515,19740386,5011,E
Dys16,A04,B,15409906,29467648,5011,E
Dys16,A04,D,209194,3068762,5011,E
Dys16,A04,D,9734348,25803639,5011,E
Dys16,A04,E,28773361,37587778,5011,E
Dys16,A05,A,37014,8184068,5011,E
Dys16,A05,B,8062210,13163060,5011,E
Dys16,A05,B,22066260,29475082,5011,E
Dys16,A05,C,206228,25417850,5011,E
Dys16,A05,D,121986,9682917,5011,E
Dys16,A05,E,3298,2522884,5011,E
Dys16,A05,E,25821562,37615559,5011,E
Dys16,A06,B,172615,7622155,5011,E
Dys16,A06,B,8927937,29435241,5011,E
Dys16,A06,C,175498,25381390,5011,E
Dys16,A06,D,350370,9625597,5011,E
Dys16,A06,D,22732640,25793468,5011,E
Dys16,A06,E,65574,11663383,5011,E
Dys16,A06,E,18583614,27758383,5011,E
Dys16,A07,B,19359737,29374061,5011,E
Dys16,A07,D,4644,2438166,5011,E
Dys16,A07,D,9745870,25802285,5011,E
Dys16,A09,A,2480174,6209209,5011,E
Dys16,A09,A,11480978,23389502,5011,E
Dys16,A09,A,28314606,29639388,5011,E
Dys16,A09,B,10302,16273212,5011,E
Dys16,A09,C,19991911,25394040,5011,E
Dys16,A09,D,228277,2996432,5011,E
Dys16,A09,D,9709235,25847227,5011,E
Dys16,A09,E,2632,16598689,5011,E
Dys16,A11,A,24786204,29585159,5011,E
Dys16,A11,B,4877371,19432785,5011,E
Dys16,A11,D,9732162,25803639,5011,E
Dys16,A11,E,65094,6260147,5011,E
Dys16,A11,E,11907383,37615559,5011,E
Dys16,A11,F,26720,1921079,5011,E
Dys16,A12,A,1835,5898475,5011,E
Dys16,A12,B,119348,18232868,5011,E
Dys16,A12,B,24080577,30355760,5011,E
Dys16,A12,C,248397,3186305,5011,E
Dys16,A12,D,324434,5042957,5011,E
Dys16,A12,D,8062109,9645905,5011,E
Dys16,A12,D,14455049,26706475,5011,E
Dys16,A12,E,4990,15967018,5011,E
Dys16,B02,A,5322540,10098857,5011,E
Dys16,B02,A,20972567,29520348,5011,E
Dys16,B02,B,13642494,19981368,5011,E
Dys16,B02,C,175432,12121272,5011,E
Dys16,B02,D,9730962,26032823,5011,E
Dys16,B02,E,5799,9395889,5011,E
Dys16,B02,E,24300219,37560681,5011,E
Dys16,B02,F,91425,1769098,5011,E
Dys16,B05,A,16837985,22247367,5011,E
Dys16,B05,B,71427,11070239,5011,E
Dys16,B05,B,27290866,29436022,5011,E
Dys16,B05,C,19574655,25402363,5011,E
Dys16,B05,D,9748201,25911345,5011,E
Dys16,B05,E,52714,21119598,5011,E
Dys16,B05,F,677537,1921419,5011,E
Dys16,B06,A,7330628,29623937,5011,E
Dys16,B06,B,227833,7010803,5011,E
Dys16,B06,B,26389773,29275896,5011,E
Dys16,B06,C,7944993,20882531,5011,E
Dys16,B06,D,4644,7337297,5011,E
Dys16,B06,D,9736715,18474730,5011,E
Dys16,B06,E,4097421,8172238,5011,E
Dys16,B06,E,15352028,30915648,5011,E
Dys16,B06,F,116310,1397648,5011,E
Dys16,B07,A,18881,5182806,5011,E
Dys16,B07,A,10834762,29477234,5011,E
Dys16,B07,B,10302,11834748,5011,E
Dys16,B07,B,19819357,29441537,5011,E
Dys16,B07,C,4600438,25401950,5011,E
Dys16,B07,D,12879,9698119,5011,E
Dys16,B07,E,26847689,37618822,5011,E
Dys16,B07,F,3360,1862695,5011,E
Dys16,B10,A,18881,3101652,5011,E
Dys16,B10,A,18962934,29636784,5011,E
Dys16,B10,C,175432,15673181,5011,E
Dys16,B10,D,9730855,26023468,5011,E
Dys16,B10,E,369,33060695,5011,E
Dys16,B11,A,3460382,19537947,5011,E
Dys16,B11,B,10302,10493519,5011,E
Dys16,B11,D,6735893,9674237,5011,E
Dys16,B11,E,9872861,19274096,5011,E
Dys16,B12,B,23393251,29668937,5011,E
Dys16,B12,C,175991,25394040,5011,E
Dys16,B12,D,7777119,9634529,5011,E
Dys16,B12,D,16364117,22184603,5011,E
Dys16,B12,E,9621839,37607357,5011,E
Dys16,B12,F,15673,1153954,5011,E
Dys16,C03,A,3560260,10734120,5019,E
Dys16,C03,B,111402,3611123,5019,E
Dys16,C03,C,280475,15160278,5019,E
Dys16,C03,C,22912454,25427560,5019,E
Dys16,C03,D,140696,19956250,5019,E
Dys16,C03,E,6530950,9415899,5019,E
Dys16,C03,E,24413054,33425298,5019,E
Dys16,C03,E,34296965,37618913,5019,E
Dys16,C03,F,116764,1392947,5019,E
Dys16,C06,A,12868711,15750845,5019,E
Dys16,C06,B,51995,12459358,5019,E
Dys16,C06,B,25747353,29400448,5019,E
Dys16,C06,D,68661,22079265,5019,E
Dys16,C06,E,1728184,26914310,5019,E
Dys16,C06,F,563790,1920308,5019,E
Dys16,C07,A,12076,10098278,5019,E
Dys16,C07,A,16854477,29518749,5019,E
Dys16,C07,C,177426,25393587,5019,E
Dys16,C07,D,1836380,14166370,5019,E
Dys16,C07,D,15152611,22164920,5019,E
Dys16,C07,E,6997650,10984023,5019,E
Dys16,C07,E,22001108,24398899,5019,E
Dys16,C09,A,41335,1973547,5019,E
Dys16,C09,A,9956233,16090561,5019,E
Dys16,C09,B,10030487,22112947,5019,E
Dys16,C09,F,511282,1413650,5019,E
Dys16,C10,A,22645872,29799743,5019,E
Dys16,C10,B,30904,6629068,5019,E
Dys16,C10,B,20692751,29174626,5019,E
Dys16,C10,C,11964070,15831997,5019,E
Dys16,C10,D,10410151,14917571,5019,E
Dys16,C10,D,18337608,25951621,5019,E
Dys16,C10,E,5194901,37607357,5019,E
Dys16,C11,A,23553,6600964,5019,E
Dys16,C11,B,9441095,18180608,5019,E
Dys16,C11,C,9244981,19217475,5019,E
Dys16,C11,D,7024981,23533776,5019,E
Dys16,C11,E,62596,6342318,5019,E
Dys16,C12,A,3232194,15309041,5019,E
Dys16,C12,A,21918927,29430142,5019,E
Dys16,C12,B,71427,4392990,5019,E
Dys16,C12,B,23147430,29705245,5019,E
Dys16,C12,D,7963771,25794649,5019,E
Dys16,C12,E,7111064,29186665,5019,E
Dys16,D02,A,9477123,20690370,5019,E
Dys16,D02,C,5856185,9240439,5019,E
Dys16,D02,C,12638775,24931293,5019,E
Dys16,D02,C,25085153,25551686,5019,E
Dys16,D02,D,3794244,26070724,5019,E
Dys16,D02,E,8966639,16656651,5019,E
Dys16,D02,E,24579429,31684326,5019,E
Dys16,D02,F,674728,1921506,5019,E
Dys16,D03,B,15408945,29459663,5019,E
Dys16,D03,C,14441273,24259569,5019,E
Dys16,D03,C,24341860,25576297,5019,E
Dys16,D03,D,134082,4431103,5019,E
Dys16,D03,D,8071334,10742039,5019,E
Dys16,D03,E,15132723,37592313,5019,E
Dys16,D06,A,20008,13399149,5019,E
Dys16,D06,B,51995,22829317,5019,E
